"cumulative_deaths","date_death_report","deaths","province"
1,"28-03-2020",0,"Manitoba"
1,"29-03-2020",0,"Manitoba"
1,"30-03-2020",0,"Manitoba"
1,"31-03-2020",0,"Manitoba"
1,"01-04-2020",0,"Manitoba"
1,"02-04-2020",0,"Manitoba"
2,"03-04-2020",1,"Manitoba"
2,"04-04-2020",0,"Manitoba"
2,"05-04-2020",0,"Manitoba"
2,"06-04-2020",0,"Manitoba"
3,"07-04-2020",1,"Manitoba"
3,"08-04-2020",0,"Manitoba"
3,"09-04-2020",0,"Manitoba"
4,"10-04-2020",1,"Manitoba"
4,"11-04-2020",0,"Manitoba"
4,"12-04-2020",0,"Manitoba"
4,"13-04-2020",0,"Manitoba"
4,"14-04-2020",0,"Manitoba"
5,"15-04-2020",1,"Manitoba"
5,"16-04-2020",0,"Manitoba"
5,"17-04-2020",0,"Manitoba"
5,"18-04-2020",0,"Manitoba"
5,"19-04-2020",0,"Manitoba"
6,"20-04-2020",1,"Manitoba"
6,"21-04-2020",0,"Manitoba"
6,"22-04-2020",0,"Manitoba"
6,"23-04-2020",0,"Manitoba"
6,"24-04-2020",0,"Manitoba"
6,"25-04-2020",0,"Manitoba"
6,"26-04-2020",0,"Manitoba"
6,"27-04-2020",0,"Manitoba"
6,"28-04-2020",0,"Manitoba"
6,"29-04-2020",0,"Manitoba"
6,"30-04-2020",0,"Manitoba"
6,"01-05-2020",0,"Manitoba"
6,"02-05-2020",0,"Manitoba"
6,"03-05-2020",0,"Manitoba"
6,"04-05-2020",0,"Manitoba"
7,"05-05-2020",1,"Manitoba"
7,"06-05-2020",0,"Manitoba"
7,"07-05-2020",0,"Manitoba"
7,"08-05-2020",0,"Manitoba"
7,"09-05-2020",0,"Manitoba"
7,"10-05-2020",0,"Manitoba"
7,"11-05-2020",0,"Manitoba"
7,"12-05-2020",0,"Manitoba"
7,"13-05-2020",0,"Manitoba"
7,"14-05-2020",0,"Manitoba"
7,"15-05-2020",0,"Manitoba"
7,"16-05-2020",0,"Manitoba"
7,"17-05-2020",0,"Manitoba"
7,"18-05-2020",0,"Manitoba"
7,"19-05-2020",0,"Manitoba"
7,"20-05-2020",0,"Manitoba"
7,"21-05-2020",0,"Manitoba"
7,"22-05-2020",0,"Manitoba"
7,"23-05-2020",0,"Manitoba"
7,"24-05-2020",0,"Manitoba"
7,"25-05-2020",0,"Manitoba"
7,"26-05-2020",0,"Manitoba"
7,"27-05-2020",0,"Manitoba"
7,"28-05-2020",0,"Manitoba"
7,"29-05-2020",0,"Manitoba"
7,"30-05-2020",0,"Manitoba"
7,"31-05-2020",0,"Manitoba"
7,"01-06-2020",0,"Manitoba"
7,"02-06-2020",0,"Manitoba"
7,"03-06-2020",0,"Manitoba"
7,"04-06-2020",0,"Manitoba"
7,"05-06-2020",0,"Manitoba"
7,"06-06-2020",0,"Manitoba"
7,"07-06-2020",0,"Manitoba"
7,"08-06-2020",0,"Manitoba"
7,"09-06-2020",0,"Manitoba"
7,"10-06-2020",0,"Manitoba"
7,"11-06-2020",0,"Manitoba"
7,"12-06-2020",0,"Manitoba"
7,"13-06-2020",0,"Manitoba"
7,"14-06-2020",0,"Manitoba"
7,"15-06-2020",0,"Manitoba"
7,"16-06-2020",0,"Manitoba"
7,"17-06-2020",0,"Manitoba"
7,"18-06-2020",0,"Manitoba"
7,"19-06-2020",0,"Manitoba"
7,"20-06-2020",0,"Manitoba"
7,"21-06-2020",0,"Manitoba"
7,"22-06-2020",0,"Manitoba"
7,"23-06-2020",0,"Manitoba"
7,"24-06-2020",0,"Manitoba"
7,"25-06-2020",0,"Manitoba"
7,"26-06-2020",0,"Manitoba"
7,"27-06-2020",0,"Manitoba"
7,"28-06-2020",0,"Manitoba"
7,"29-06-2020",0,"Manitoba"
7,"30-06-2020",0,"Manitoba"
7,"01-07-2020",0,"Manitoba"
